CANTIDADCANA,HORA,NETACANA,VALPORCTRASH,VALTRASHCANA,MODULO_ID,TRASHCANA_ID,TURNO_ID,VARIEDAD_ID
24,2019-08-03 06:00:00.000000,22.1,7.917,1.9,4,ff808081716c39f201716c43535d0000,2,1
20.6,2019-08-03 07:00:00.000000,18.4,10.68,2.2,4,ff808081716c39f201716c43535d0000,2,1
21.3,2019-08-03 11:00:00.000000,19.3,9.39,2,4,ff808081716c39f201716c43535d0000,2,1
21.7,2019-08-03 12:00:00.000000,19.6,9.677,2.1,4,ff808081716c39f201716c43535d0000,2,1
23.4,2019-08-03 13:00:00.000000,21.7,7.265,1.7,4,ff808081716c39f201716c43535d0000,2,1
24.2,2019-08-03 16:00:00.000000,22.5,7.025,1.7,4,ff808081716c39f201716c43535d0000,2,1
23.7,2019-08-03 17:00:00.000000,22.6,4.641,1.1,4,ff808081716c39f201716c43535d0000,2,1
21.3,2019-08-03 18:00:00.000000,20,6.103,1.3,4,ff808081716c39f201716c43535d0000,2,1
22.3,2019-08-03 19:00:00.000000,20.7,7.175,1.6,4,ff808081716c39f201716c43535d0000,2,1
19.4,2019-08-03 21:00:00.000000,18,7.216,1.4,4,ff808081716c39f201716c43535d0000,2,1
23.2,2019-08-03 22:00:00.000000,21.5,7.328,1.7,4,ff808081716c39f201716c43535d0000,2,1
22.1,2019-08-03 23:00:00.000000,20.6,6.787,1.5,4,ff808081716c39f201716c43535d0000,2,1
24.2,2019-08-04 00:00:00.000000,23.3,3.719,0.9,4,ff808081716c39f201716c43535d0000,2,1
19.3,2019-08-04 01:00:00.000000,17.4,9.845,1.9,4,ff808081716c39f201716c43535d0000,2,1
16.6,2019-08-04 02:00:00.000000,15.3,7.831,1.3,4,ff808081716c39f201716c43535d0000,2,1
15.3,2019-08-04 03:00:00.000000,13.3,13.072,2,4,ff808081716c39f201716c43535d0000,2,1
20.7,2019-08-04 04:00:00.000000,19.5,5.797,1.2,4,ff808081716c39f201716c43535d0000,2,1
21.2,2019-08-04 05:00:00.000000,19.9,6.132,1.3,4,ff808081716c39f201716c43535d0000,2,1
17.6,2019-08-03 20:00:00.000000,15.4,12.5,2.2,4,ff808081716c39f201716c43535d0000,2,1
