id,susred,titulacion
1000,2.37,2.00
1001,2.24,2.10
1002,2.12,2.20
1003,2.03,2.30
1004,1.95,2.40
1005,1.87,2.50
1006,1.80,2.60
1007,1.73,2.70
1008,1.67,2.80
1009,1.61,2.90
1010,1.56,3.00
1011,1.52,3.10
1012,1.47,3.20
1013,1.43,3.30
1014,1.39,3.40
1015,1.35,3.50
1016,1.31,3.60
1017,1.27,3.70
1018,1.24,3.80
1019,1.21,3.90
1020,1.17,4.00
1021,1.14,4.10
1022,1.11,4.20
1023,1.08,4.30
1024,1.05,4.40
1025,1.03,4.50
1026,1.01,4.60
1027,0.99,4.70
1028,0.97,4.80
1029,0.95,4.90
1030,0.93,5.00
1031,0.91,5.10
1032,0.90,5.20
1033,0.88,5.30
1034,0.86,5.40
1035,0.85,5.50
1036,0.84,5.60
1037,0.82,5.70
1038,0.80,5.80
1039,0.79,5.90
1040,0.78,6.00
1041,0.76,6.10
1042,0.75,6.20
1043,0.74,6.30
1044,0.73,6.40
1045,0.72,6.50
1046,0.71,6.60
1047,0.70,6.70
1048,0.69,6.80
1049,0.68,6.90
1050,0.67,7.00
1051,0.66,7.10
1052,0.65,7.20
1053,0.64,7.30
1054,0.63,7.40
1055,0.63,7.50
1056,0.62,7.60
1057,0.61,7.70
1058,0.60,7.80
1059,0.60,7.90
1060,0.59,8.00
1061,0.58,8.10
1062,0.57,8.20
1063,0.56,8.30
1064,0.56,8.40
1065,0.55,8.50
1066,0.54,8.60
1067,0.54,8.70
1068,0.53,8.80
1069,0.53,8.90
1070,0.52,9.00
1071,0.51,9.10
1072,0.51,9.20
1073,0.50,9.30
1074,0.50,9.40
1075,0.49,9.50
1076,0.49,9.60
1077,0.48,9.70
1078,0.48,9.80
1079,0.47,9.90
1080,0.47,10.00
1081,0.46,10.10
1082,0.46,10.20
1083,0.45,10.30
1084,0.45,10.40
1085,0.44,10.50
1086,0.44,10.60
1087,0.43,10.70
1088,0.43,10.80
1089,0.43,10.90
1090,0.42,11.00
1091,0.42,11.10
1092,0.42,11.20
1093,0.41,11.30
1094,0.41,11.40
1095,0.41,11.50
1096,0.40,11.60
1097,0.40,11.70
1098,0.40,11.80
1099,0.39,11.90
1100,0.39,12.00
1101,0.39,12.10
1102,0.38,12.20
1103,0.38,12.30
1104,0.38,12.40
1105,0.37,12.50
1106,0.37,12.60
1107,0.37,12.70
1108,0.37,12.80
1109,0.36,12.90
1110,0.36,13.00
1111,0.36,13.10
1112,0.35,13.20
1113,0.35,13.30
1114,0.35,13.40
1115,0.35,13.50
1116,0.34,13.60
1117,0.34,13.70
1118,0.34,13.80
1119,0.34,13.90
1120,0.33,14.00
1121,0.33,14.10
1122,0.33,14.20
1123,0.33,14.30
1124,0.32,14.40
1125,0.32,14.50
1126,0.32,14.60
1127,0.32,14.70
1128,0.32,14.80
1129,0.31,14.90
1130,0.31,15.00
1131,0.31,15.10
1132,0.31,15.20
1133,0.31,15.30
1134,0.30,15.40
1135,0.30,15.50
1136,0.30,15.60
1137,0.30,15.70
1138,0.30,15.80
1139,0.29,15.90
1140,0.29,16.00
1141,0.29,16.10
1142,0.29,16.20
1143,0.29,16.30
1144,0.29,16.40
1145,0.28,16.50
1146,0.28,16.60
1147,0.28,16.70
1148,0.28,16.80
1149,0.28,16.90
1150,0.28,17.00
1151,0.27,17.10
1152,0.27,17.20
1153,0.27,17.30
1154,0.27,17.40
1155,0.27,17.50
1156,0.27,17.60
1157,0.26,17.70
1158,0.26,17.80
1159,0.26,17.90
1160,0.26,18.00
1161,0.26,18.10
1162,0.26,18.20
1163,0.26,18.30
1164,0.25,18.40
1165,0.25,18.50
1166,0.25,18.60
1167,0.25,18.70
1168,0.25,18.80
1169,0.25,18.90
1170,0.25,19.00
1171,0.25,19.10
1172,0.24,19.20
1173,0.24,19.30
1174,0.24,19.40
1175,0.24,19.50
1176,0.24,19.60
1177,0.24,19.70
1178,0.24,19.80
1179,0.24,19.90
1180,0.23,20.00
1181,0.23,20.10
1182,0.23,20.20
1183,0.23,20.30
1184,0.23,20.40
1185,0.23,20.50
1186,0.23,20.60
1187,0.23,20.70
1188,0.22,20.80
1189,0.22,20.90
