id,temp,col02,col03,col04,col05,col06,col07,col08,col09,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,0,0.9984,0.9976,0.9969,0.9964,0.9958,0.9954,0.9949,0.9945,0.9941,0.9937,0.9934,0.9931,0.9929,0.9928,0.9926,0.9927,0.9925,0.9923,0.9921
2,5,0.9982,0.9978,0.9974,0.9970,0.9966,0.9963,0.9960,0.9957,0.9954,0.9952,0.9949,0.9948,0.9946,0.9945,0.9944,0.9945,0.9944,0.9943,0.9942
3,10,0.9985,0.9983,0.9981,0.9978,0.9976,0.9974,0.9972,0.9970,0.9969,0.9967,0.9966,0.9964,0.9963,0.9963,0.9962,0.9964,0.9963,0.9962,0.9961
4,15,0.9991,0.9990,0.9989,0.9988,0.9987,0.9986,0.9985,0.9884,0.9984,0.9983,0.9982,0.9982,0.9981,0.9963,0.9981,0.9982,0.9982,0.9982,0.9982
5,20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
6,25,1.0012,1.0012,1.0013,1.0014,1.0014,1.0015,1.0016,1.0017,1.0018,1.0018,1.0018,1.0019,1.0019,1.0019,1.0020,1.0019,1.0020,1.0021,1.0022
7,30,1.0026,1.0026,1.0027,1.0029,1.0030,1.0032,1.0033,1.0035,1.0036,1.0037,1.0038,1.0039,1.0039,1.0039,1.0040,1.0038,1.0039,1.0040,1.0041
8,35,1.0042,1.0043,1.0047,1.0046,1.0048,1.0050,1.0052,1.0054,1.0056,1.0057,1.0058,1.0059,1.0060,1.0060,1.0061,1.0058,1.0059,1.0060,1.0061
9,40,1.0060,1.0061,1.0063,1.0065,1.0068,1.0070,1.0072,1.0074,1.0076,1.0078,1.0079,1.0080,1.0081,1.0081,1.0082,1.0078,1.0079,1.0080,1.0081
10,45,1.0080,1.0081,1.0084,1.0086,1.0086,1.0091,1.0094,1.0096,1.0098,1.0099,1.0100,1.0102,1.0102,1.0103,1.0103,1.0099,1.0099,1.0099,1.0099
11,50,1.0102,1.0104,1.0106,1.0109,1.0112,1.0115,1.0117,1.0119,1.0120,1.0122,1.0123,1.0124,1.0125,1.0125,1.0125,1.0121,1.0122,1.0122,1.0122
12,55,1.0126,1.0128,1.0131,1.0134,1.0137,1.0139,1.0141,1.0143,1.0144,1.0145,1.0147,1.0148,1.0148,1.0148,1.0148,1.0143,1.0143,1.0143,1.0143
13,60,1.0152,1.0155,1.0158,1.0161,1.0163,1.0165,1.0167,1.0168,1.0169,1.0170,1.0171,1.0172,1.0172,1.0172,1.0171,1.0166,1.0165,1.0164,1.0163
14,65,1.0179,1.0184,1.0186,1.0189,1.0191,1.0194,1.0196,1.0196,1.0200,1.0202,1.0199,1.0199,1.0198,1.0194,1.0189,1.0190,1.0185,1.0180,1.0175
15,70,1.0209,1.0213,1.0215,1.0218,1.0218,1.0221,1.0223,1.0224,1.0227,1.0229,1.0225,1.0225,1.0223,1.0219,1.0215,1.0214,1.0210,1.0206,1.0202
16,75,1.0241,1.0243,1.0244,1.0247,1.0248,1.0250,1.0251,1.0252,1.0254,1.0257,1.0252,1.0251,1.0250,1.0244,1.0241,1.0238,1.0235,1.0232,1.0229
17,80,1.0274,1.0273,1.0275,1.0277,1.0279,1.0280,1.0281,1.0281,1.0283,1.0286,1.2800,1.0278,1.0277,1.0270,1.0268,1.0263,1.0261,1.0259,1.0257
18,85,1.0308,1.0307,1.0309,1.0309,1.0312,1.0312,1.0312,1.0312,1.0312,1.0317,1.0310,1.0306,1.0305,1.0279,1.0294,1.0289,1.0310,1.0331,1.0352
19,90,1.0342,1.0342,1.0344,1.0344,1.0347,1.0346,1.0345,1.0344,1.0343,1.0347,1.0340,1.0334,1.0334,1.0326,1.0322,1.0316,1.0312,1.0308,1.0304
20,95,1.0376,1.0379,1.0380,1.0380,1.0382,1.0381,1.0379,1.0377,1.0355,1.0378,1.0371,1.0364,1.0363,1.0354,1.0351,1.0343,1.0340,1.0337,1.0334
21,100,1.0411,1.0417,1.0418,1.0417,1.0417,1.0415,1.0413,1.0412,1.0409,1.0409,1.0403,1.0395,1.0393,1.0383,1.0380,1.0370,1.0367,1.0364,1.0361
