21;infringe;bashful
23;suggest;poised
19;sneeze;second
4;shatter;fertile
28;knit;hissing
5;count;clear
8;board;messy
11;decrease;bumpy
33;oppress;plant
6;encroach;pleasant
18;tread;misty
12;propose;ad hoc
4;scold;mammoth
35;scan;tasty
1;pause;extra-large
39;damp;humorous
2;soar;zonked
27;sally;quixotic
27;shit;thoughtless
21;have;feeble
10;rot;crazy
28;have;hilarious
19;count;black
35;roll;fine
35;comment;mellow
1;encourage;resolute
9;nail;aboriginal
30;state;pleasant
11;qualify;merciful
21;fight;devilish
